Data,Label Type,Model,Accuracy,Prompt Type,Model Size
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,OPT-IML (MAX),40.0,scores_instruction,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,OPT-IML (MAX),25.0,scores_instruction,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,OPT-IML (MAX),47.5,scores_instruction,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Flan-UL2,37.5,scores_instruction,20000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Flan-UL2,20.0,scores_instruction,20000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Flan-UL2,70.0,scores_instruction,20000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-3 (curie),30.0,scores_openai_instruction,0
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-3 (curie),42.5,scores_openai_instruction,0
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-3 (curie),32.5,scores_openai_instruction,0
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,GPT-3 (babbage),29.166666666666668,scores_openai_instruction,0
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,GPT-3 (babbage),29.166666666666668,scores_openai_instruction,0
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,GPT-3 (babbage),29.166666666666668,scores_openai_instruction,0
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,GPT-3 (ada),29.166666666666668,scores_openai_instruction,0
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,GPT-3 (ada),29.166666666666668,scores_openai_instruction,0
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,GPT-3 (ada),29.166666666666668,scores_openai_instruction,0
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,GPT-3 (ada),49.61538461538461,scores_openai_instruction,0
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,GPT-3 (davinci),28.333333333333332,scores_openai_instruction,0
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,GPT-3 (davinci),28.333333333333332,scores_openai_instruction,0
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,GPT-3 (davinci),30.0,scores_openai_instruction,0
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-3 (davinci),37.5,scores_openai_instruction,0
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-3 (davinci),37.5,scores_openai_instruction,0
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-3 (davinci),35.0,scores_openai_instruction,0
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,GPT-3 (davinci),56.15384615384615,scores_openai_instruction,0
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-3 (babbage),37.5,scores_openai_instruction,0
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-3 (babbage),37.5,scores_openai_instruction,0
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-3 (babbage),37.5,scores_openai_instruction,0
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,GPT-3 (curie),33.33333333333333,scores_openai_instruction,0
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,GPT-3 (curie),35.833333333333336,scores_openai_instruction,0
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,GPT-3 (curie),30.833333333333336,scores_openai_instruction,0
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,GPT-3 (curie),49.23076923076923,scores_openai_instruction,0
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-3 (ada),37.5,scores_openai_instruction,0
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-3 (ada),37.5,scores_openai_instruction,0
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-3 (ada),37.5,scores_openai_instruction,0
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,GPT-3 (babbage),49.61538461538461,scores_openai_instruction,0
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Galactica,29.166666666666668,scores_no_prompt,6700
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Galactica,25.833333333333336,scores_no_prompt,6700
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Galactica,28.333333333333332,scores_no_prompt,6700
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,RoBERTa,64.61538461538461,scores_no_prompt,110
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,RoBERTa,34.166666666666664,scores_no_prompt,335
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,RoBERTa,43.333333333333336,scores_no_prompt,335
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,RoBERTa,20.0,scores_no_prompt,335
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-J,22.5,scores_no_prompt,125
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-J,12.5,scores_no_prompt,125
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-J,55.00000000000001,scores_no_prompt,125
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,OPT-IML (MAX),35.0,scores_no_prompt,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,OPT-IML (MAX),42.5,scores_no_prompt,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,OPT-IML (MAX),24.166666666666668,scores_no_prompt,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,T5,30.0,scores_no_prompt,60
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,T5,0.0,scores_no_prompt,60
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,T5,52.5,scores_no_prompt,60
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Flan-T5,40.833333333333336,scores_no_prompt,11000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Flan-T5,19.166666666666668,scores_no_prompt,11000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Flan-T5,23.333333333333332,scores_no_prompt,11000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,OPT-IML,33.33333333333333,scores_no_prompt,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,OPT-IML,42.5,scores_no_prompt,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,OPT-IML,28.333333333333332,scores_no_prompt,30000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,GPT-J,61.92307692307693,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,GPT-J,33.33333333333333,scores_no_prompt,20000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,GPT-J,37.5,scores_no_prompt,20000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,GPT-J,18.333333333333332,scores_no_prompt,20000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,OPT-IML,69.61538461538461,scores_no_prompt,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,GPT-J,35.833333333333336,scores_no_prompt,6000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,GPT-J,52.5,scores_no_prompt,6000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,GPT-J,14.166666666666666,scores_no_prompt,6000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Galactica,25.0,scores_no_prompt,125
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Galactica,10.0,scores_no_prompt,125
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Galactica,52.5,scores_no_prompt,125
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-2,30.0,scores_no_prompt,355
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-2,42.5,scores_no_prompt,355
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-2,37.5,scores_no_prompt,355
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,T5,35.0,scores_no_prompt,770
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,T5,10.0,scores_no_prompt,770
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,T5,37.5,scores_no_prompt,770
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,GPT-J,61.53846153846154,scores_no_prompt,20000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,T5,50.76923076923077,scores_no_prompt,11000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Flan-T5,78.84615384615384,scores_no_prompt,60
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Galactica,65.38461538461539,scores_no_prompt,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Flan-T5,15.0,scores_no_prompt,220
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Flan-T5,5.0,scores_no_prompt,220
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Flan-T5,57.49999999999999,scores_no_prompt,220
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,OPT,35.0,scores_no_prompt,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,OPT,40.833333333333336,scores_no_prompt,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,OPT,20.833333333333336,scores_no_prompt,30000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,GPT-2,61.92307692307693,scores_no_prompt,774
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,T5,25.0,scores_no_prompt,220
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,T5,17.5,scores_no_prompt,220
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,T5,55.00000000000001,scores_no_prompt,220
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Flan-T5,30.0,scores_no_prompt,60
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Flan-T5,9.166666666666666,scores_no_prompt,60
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Flan-T5,34.166666666666664,scores_no_prompt,60
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,T5,39.166666666666664,scores_no_prompt,60
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,T5,11.666666666666666,scores_no_prompt,60
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,T5,49.166666666666664,scores_no_prompt,60
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,OPT-IML,25.0,scores_no_prompt,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,OPT-IML,2.5,scores_no_prompt,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,OPT-IML,45.0,scores_no_prompt,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,OPT,31.666666666666664,scores_no_prompt,350
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,OPT,45.83333333333333,scores_no_prompt,350
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,OPT,28.333333333333332,scores_no_prompt,350
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,BERT,40.0,scores_no_prompt,110
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,BERT,9.166666666666666,scores_no_prompt,110
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,BERT,41.66666666666667,scores_no_prompt,110
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-2,22.5,scores_no_prompt,124
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-2,27.500000000000004,scores_no_prompt,124
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-2,45.0,scores_no_prompt,124
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,GPT-2,37.5,scores_no_prompt,1500
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,GPT-2,52.5,scores_no_prompt,1500
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,GPT-2,16.666666666666664,scores_no_prompt,1500
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,OPT,30.0,scores_no_prompt,125
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,OPT,7.5,scores_no_prompt,125
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,OPT,52.5,scores_no_prompt,125
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,T5,35.0,scores_no_prompt,3000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,T5,40.833333333333336,scores_no_prompt,3000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,T5,29.166666666666668,scores_no_prompt,3000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Flan-T5,77.6923076923077,scores_no_prompt,220
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,OPT,68.46153846153847,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,GPT-2,63.84615384615384,scores_no_prompt,1500
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Flan-T5,80.0,scores_no_prompt,770
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,OPT-IML,30.0,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,OPT-IML,42.5,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,OPT-IML,23.333333333333332,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Galactica,35.0,scores_no_prompt,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Galactica,29.166666666666668,scores_no_prompt,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Galactica,29.166666666666668,scores_no_prompt,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,RoBERTa,30.0,scores_no_prompt,335
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,RoBERTa,10.0,scores_no_prompt,335
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,RoBERTa,45.0,scores_no_prompt,335
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Galactica,27.500000000000004,scores_no_prompt,6700
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Galactica,12.5,scores_no_prompt,6700
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Galactica,55.00000000000001,scores_no_prompt,6700
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Flan-T5,77.3076923076923,scores_no_prompt,3000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Flan-T5,20.0,scores_no_prompt,11000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Flan-T5,7.5,scores_no_prompt,11000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Flan-T5,42.5,scores_no_prompt,11000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,GPT-2,62.30769230769231,scores_no_prompt,124
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,UL2,61.53846153846154,scores_no_prompt,20000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,OPT,63.07692307692307,scores_no_prompt,350
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Flan-T5,30.833333333333336,scores_no_prompt,220
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Flan-T5,9.166666666666666,scores_no_prompt,220
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Flan-T5,40.833333333333336,scores_no_prompt,220
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,OPT-IML,67.3076923076923,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,OPT-IML (MAX),65.76923076923077,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Galactica,66.92307692307692,scores_no_prompt,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-J,20.0,scores_no_prompt,20000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-J,7.5,scores_no_prompt,20000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-J,45.0,scores_no_prompt,20000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,OPT-IML (MAX),70.38461538461539,scores_no_prompt,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,T5,22.5,scores_no_prompt,3000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,T5,7.5,scores_no_prompt,3000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,T5,62.5,scores_no_prompt,3000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,OPT-IML (MAX),29.166666666666668,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,OPT-IML (MAX),43.333333333333336,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,OPT-IML (MAX),24.166666666666668,scores_no_prompt,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,OPT-IML (MAX),22.5,scores_no_prompt,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,OPT-IML (MAX),2.5,scores_no_prompt,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,OPT-IML (MAX),50.0,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,T5,76.92307692307693,scores_no_prompt,60
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,BERT,22.5,scores_no_prompt,335
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,BERT,12.5,scores_no_prompt,335
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,BERT,27.500000000000004,scores_no_prompt,335
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,GPT-2,34.166666666666664,scores_no_prompt,355
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,GPT-2,55.833333333333336,scores_no_prompt,355
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,GPT-2,15.833333333333332,scores_no_prompt,355
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Galactica,34.166666666666664,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Galactica,28.333333333333332,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Galactica,30.0,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,T5,35.833333333333336,scores_no_prompt,11000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,T5,34.166666666666664,scores_no_prompt,11000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,T5,32.5,scores_no_prompt,11000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-2,25.0,scores_no_prompt,774
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-2,12.5,scores_no_prompt,774
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-2,42.5,scores_no_prompt,774
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-2,22.5,scores_no_prompt,1500
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-2,5.0,scores_no_prompt,1500
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-2,47.5,scores_no_prompt,1500
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,OPT,64.23076923076924,scores_no_prompt,125
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-J,25.0,scores_no_prompt,2700
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-J,2.5,scores_no_prompt,2700
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-J,47.5,scores_no_prompt,2700
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,RoBERTa,27.500000000000004,scores_no_prompt,110
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,RoBERTa,2.5,scores_no_prompt,110
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,RoBERTa,45.0,scores_no_prompt,110
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,GPT-2,37.5,scores_no_prompt,124
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,GPT-2,59.166666666666664,scores_no_prompt,124
