trial,data,prompt,cot,metaphor (num of invalid),metaphor,literal (num of invalid),literal,anomaly (num of invalid),anomaly
2,Metaphors_and_Analogies_Pairs_Cardillo_set_test,1,False,1,77.99227799227799,,,,
3,Metaphors_and_Analogies_Pairs_Cardillo_set_test,3,False,229,74.19354838709677,,,,
2,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,1,False,0,68.33333333333333,1.0,78.15126050420169,11.0,64.22018348623854
3,Metaphors_and_Analogies_Quadruples_Green_set_test,2,False,0,55.00000000000001,0.0,72.5,4.0,61.111111111111114
3,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,3,False,112,87.5,112.0,87.5,112.0,87.5
2,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,3,False,112,87.5,112.0,87.5,112.0,100.0
2,Metaphors_and_Analogies_Quadruples_Green_set_test,2,False,0,57.49999999999999,0.0,72.5,3.0,59.45945945945946
3,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,1,False,1,70.58823529411765,1.0,78.99159663865547,9.0,61.261261261261254
2,Metaphors_and_Analogies_Pairs_Cardillo_set_test,3,False,224,77.77777777777779,,,,
3,Metaphors_and_Analogies_Pairs_Cardillo_set_test,1,False,0,76.92307692307693,,,,
1,Metaphors_and_Analogies_Quadruples_Green_set_test,3,False,0,72.5,0.0,72.5,0.0,72.5
4,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,1,False,1,71.42857142857143,1.0,78.15126050420169,7.0,62.83185840707964
5,Metaphors_and_Analogies_Quadruples_Green_set_test,2,False,0,57.49999999999999,0.0,72.5,1.0,61.53846153846154
1,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,2,False,0,73.33333333333333,0.0,90.0,3.0,75.21367521367522
5,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,3,False,114,83.33333333333334,114.0,100.0,114.0,83.33333333333334
4,Metaphors_and_Analogies_Pairs_Cardillo_set_test,1,False,0,76.92307692307693,,,,
5,Metaphors_and_Analogies_Pairs_Cardillo_set_test,3,False,228,75.0,,,,
1,Metaphors_and_Analogies_Pairs_Cardillo_set_test,2,False,1,73.35907335907336,,,,
4,Metaphors_and_Analogies_Pairs_Cardillo_set_test,3,False,225,65.71428571428571,,,,
5,Metaphors_and_Analogies_Pairs_Cardillo_set_test,1,False,0,77.3076923076923,,,,
4,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,3,False,109,100.0,109.0,90.9090909090909,109.0,90.9090909090909
1,Metaphors_and_Analogies_Quadruples_Green_set_test,1,False,0,60.0,0.0,67.5,1.0,33.33333333333333
4,Metaphors_and_Analogies_Quadruples_Green_set_test,2,False,0,57.49999999999999,1.0,71.7948717948718,2.0,57.89473684210527
5,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,1,False,2,71.1864406779661,1.0,77.31092436974791,8.0,62.5
2,Metaphors_and_Analogies_Quadruples_Green_set_test,1,False,0,60.0,0.0,72.5,1.0,43.58974358974359
3,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,2,False,1,73.10924369747899,2.0,90.67796610169492,4.0,74.13793103448276
3,Metaphors_and_Analogies_Quadruples_Green_set_test,3,False,0,55.00000000000001,0.0,62.5,0.0,67.5
3,Metaphors_and_Analogies_Pairs_Cardillo_set_test,2,False,0,73.07692307692307,,,,
2,Metaphors_and_Analogies_Pairs_Cardillo_set_test,2,False,0,73.46153846153847,,,,
2,Metaphors_and_Analogies_Quadruples_Green_set_test,3,False,0,57.49999999999999,0.0,70.0,0.0,57.49999999999999
2,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,2,False,0,71.66666666666667,1.0,90.75630252100841,1.0,75.63025210084034
3,Metaphors_and_Analogies_Quadruples_Green_set_test,1,False,0,65.0,0.0,65.0,0.0,30.0
5,Metaphors_and_Analogies_Pairs_Cardillo_set_test,2,False,0,73.46153846153847,,,,
1,Metaphors_and_Analogies_Pairs_Cardillo_set_test,3,False,222,78.94736842105263,,,,
1,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,3,False,107,92.3076923076923,107.0,92.3076923076923,107.0,92.3076923076923
4,Metaphors_and_Analogies_Quadruples_Green_set_test,1,False,0,60.0,0.0,67.5,1.0,41.02564102564102
5,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,2,False,0,72.5,0.0,87.5,2.0,70.33898305084746
1,Metaphors_and_Analogies_Quadruples_Green_set_test,2,False,0,60.0,0.0,75.0,5.0,51.42857142857142
5,Metaphors_and_Analogies_Quadruples_Green_set_test,3,False,0,60.0,0.0,67.5,0.0,57.49999999999999
4,Metaphors_and_Analogies_Quadruples_Green_set_test,3,False,0,67.5,0.0,80.0,0.0,65.0
1,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,1,False,0,70.83333333333334,1.0,78.99159663865547,8.0,63.39285714285714
4,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,2,False,0,73.33333333333333,1.0,89.91596638655463,2.0,76.27118644067797
5,Metaphors_and_Analogies_Quadruples_Green_set_test,1,False,0,55.00000000000001,0.0,65.0,1.0,38.46153846153847
1,Metaphors_and_Analogies_Pairs_Cardillo_set_test,1,False,1,77.60617760617761,,,,
4,Metaphors_and_Analogies_Pairs_Cardillo_set_test,2,False,0,74.23076923076923,,,,
